analysis,group,space,eligible_images,group_images,prevalence,k,observed_same_group_neighbor_fraction,random_expectation,enrichment_ratio,permutation_p_upper
corrected_520,F1_le_0.25,CLIP_cosine,490,83,0.16938775510204082,15,0.16305220883534136,0.16768916155419222,0.9723479282985601,0.588
corrected_520,FN_rate_ge_0.75,CLIP_cosine,490,95,0.19387755102040816,15,0.1831578947368421,0.19222903885480572,0.9528107502799552,0.702
corrected_520,F1_le_0.25,UMAP_euclidean,490,83,0.16938775510204082,15,0.15100401606425704,0.16768916155419222,0.9004995592124597,0.895
corrected_520,FN_rate_ge_0.75,UMAP_euclidean,490,95,0.19387755102040816,15,0.1782456140350877,0.19222903885480572,0.9272564389697648,0.869
cleaned_519,F1_le_0.25,CLIP_cosine,489,83,0.16973415132924335,15,0.1742971887550201,0.1680327868852459,1.0372808306396317,0.358
cleaned_519,FN_rate_ge_0.75,CLIP_cosine,489,95,0.19427402862985685,15,0.19157894736842104,0.19262295081967212,0.9945800671892497,0.496
cleaned_519,F1_le_0.25,UMAP_euclidean,489,83,0.16973415132924335,15,0.1670682730923695,0.1680327868852459,0.9942599666960527,0.498
cleaned_519,FN_rate_ge_0.75,UMAP_euclidean,489,95,0.19427402862985685,15,0.18947368421052632,0.19262295081967212,0.9836506159014559,0.564
