analysis,images,ground_truth_objects,saved_predictions,mAP50_available_evaluator,mAP50_95_available_evaluator,best_macro_F1_threshold_available_evaluator,best_precision_macro,best_recall_macro,best_F1_macro,best_TP,best_FP,best_FN,at_0_5_precision_macro,at_0_5_recall_macro,at_0_5_F1_macro,at_0_5_TP,at_0_5_FP,at_0_5_FN
results_json_reported_520,520,1846,1516,0.7407811330935539,0.5448539544850933,,0.7944608346421937,0.65,0.7150066379547672,,,,,,,,,
available_evaluator_520,520,1846,1516,0.6298873770382478,0.46770887719526133,0.5018143653869629,0.850755208250184,0.650092375405695,0.7240151835492955,1246,269,600,0.8504398099959561,0.650092375405695,0.7238873239874738,1246,270,600
available_evaluator_519_cleaned,519,1845,1515,0.6296644104606387,0.4675623757540445,0.5018143653869629,0.8506303331253088,0.649885274813979,0.7238409917990167,1245,269,600,0.8503149348710809,0.649885274813979,0.7237131322371949,1245,270,600
paired_difference_519_minus_520,-1,-1,-1,-0.0002229665776091183,-0.00014650144121680642,0.0,-0.00012487512487524555,-0.00020710059171602513,-0.00017419175027877376,-1,0,0,-0.00012487512487524555,-0.00020710059171602513,-0.00017419175027888478,-1,0,0
