file_name,TP,class_confusions,unmatched_FP,unmatched_FN,FP,FN,ground_truth_objects,predicted_objects,precision,recall,F1,FN_rate,metric_state,was_in_original_effective_universe
Rhomboplites-aurorubens_4_jpg.rf.f0e9b9bd1a95a63b577bead216527593.jpg,3,0,1,1,1,1,4,4,0.75,0.75,0.75,0.25,defined,TRUE
Scarus-guacamaia_38_jpeg.rf.96ce3627f737c8006d495d17553ffcb3.jpg,3,0,0,1,0,1,4,3,1,0.75,0.8571428571428571,0.25,defined,TRUE
2024-08-18_06-43-48-06-00_0003_102MEDIA_DSCF0951_JPG.rf.250c4ccbfa79e4f4593ca3389dec81ba.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
Sparisoma-chrysopterum_45_jpg.rf.b68d5cbdcc7ed33bd7831be8799652e2.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
Scarus-taeniopterus_23_jpg.rf.30e469a8f4f6ce89005a9538d9f80435.jpg,3,0,0,0,0,0,3,3,1,1,1,0,defined,TRUE
Rhomboplites-aurorubens_12_png.rf.898218d4dfb052c981eb70e2265301dc.jpg,1,0,0,3,0,3,4,1,1,0.25,0.4,0.75,defined,TRUE
Mycteroperca-bonaci_40_jpeg.rf.22078d4c53601efde061888464ab8103.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
2024-08-17_15-16-54-06-00_0004_102MEDIA_DSCF0628_JPG.rf.b469514219e6b67a8385c057b87d744d.jpg,3,0,0,0,0,0,3,3,1,1,1,0,defined,TRUE
2024-08-17_13-41-20-06-00_0002_102MEDIA_DSCF0609_JPG.rf.e04aed354fd764467f18e20fa2c9c762.jpg,2,0,2,0,2,0,2,4,0.5,1,0.6666666666666666,0,defined,TRUE
Cephalopholis-cruentata_34_jpg.rf.bc18d5452d51b89be9050a1d6a502b30.jpg,0,1,0,0,1,1,1,1,0,0,0,1,defined_zero_performance,TRUE
Rhomboplites-aurorubens_1_jpg.rf.cdf87fef27237e98642df779d26ea654.jpg,14,3,4,24,7,27,41,21,0.6666666666666666,0.34146341463414637,0.4516129032258065,0.6585365853658537,defined,TRUE
2024-08-25_16-45-46-06-00_0001_106MEDIA_DSCF0527_JPG.rf.6ba6ff55b2d21d1513f9d7aff00e0301.jpg,2,0,2,0,2,0,2,4,0.5,1,0.6666666666666666,0,defined,TRUE
2024-08-18_07-10-48-06-00_0004_102MEDIA_DSCF0947_JPG.rf.60ecd71756be3d95dc4867fbfb838af8.jpg,26,0,3,2,3,2,28,29,0.896551724137931,0.9285714285714286,0.912280701754386,0.07142857142857142,defined,TRUE
2024-08-22_06-56-30-06-00_0003_104MEDIA_DSCF0878_JPG.rf.607d842bb00b332c83cb38d6a34e7465.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
Canthigaster-rostrata_6_jpg.rf.b671e8e842e52c80bc3fea5b64c5624e.jpg,0,0,0,0,0,0,0,0,NA,NA,NA,NA,precision_recall_f1_undefined_no_objects,FALSE
Scarus-taeniopterus_35_jpg.rf.604bdba62a49f0f9f175a4adbe5cb152.jpg,0,0,0,2,0,2,2,0,NA,0,0,1,defined_zero_performance,FALSE
Halichoeres-bivittatus_31_jpg.rf.f9042d2a614adbf120ce0c75a0e18452.jpg,3,0,0,0,0,0,3,3,1,1,1,0,defined,TRUE
2024-08-22_10-38-38-06-00_0003_104MEDIA_DSCF0952_JPG.rf.e7fe8b7492b9b5a02c8ec43f65781347.jpg,0,2,0,0,2,2,2,2,0,0,0,1,defined_zero_performance,TRUE
Pomacanthus-paru_7_jpg.rf.27788584dccb7f0cc5b16c7fc890651c.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
Pomacanthus-arcuatus_7_jpg.rf.59f7f4735bc121266caa0dcac994338f.jpg,1,0,2,0,2,0,1,3,0.3333333333333333,1,0.5,0,defined,TRUE
2025-09-12_17-32-14-06-00_0002_108MEDIA_DSCF0116_JPG.rf.c1d51a0bfee3851e1f3d6fe290573a39.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
Bodianus-rufus_41_jpg.rf.ceba9b89d9ce095dbcee5eb5c46a0fae.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
2024-08-22_07-05-08-06-00_0002_104MEDIA_DSCF0884_JPG.rf.87119578292a017782985061c33c4d20.jpg,18,0,2,4,2,4,22,20,0.9,0.8181818181818182,0.8571428571428572,0.18181818181818182,defined,TRUE
2024-09-19_08-36-32-06-00_0004_110MEDIA_DSCF0808_JPG.rf.029bc6b7d71bb443b0a3dea35044c3d5.jpg,0,2,0,0,2,2,2,2,0,0,0,1,defined_zero_performance,TRUE
Acanthurus-tractus_6_jpeg.rf.8e6ce56accfcd4a7ca9b92e045719f6f.jpg,0,0,0,0,0,0,0,0,NA,NA,NA,NA,precision_recall_f1_undefined_no_objects,FALSE
Sparisoma-viride_8_jpg.rf.d3665826745f357dda468eb84f589e53.jpg,1,0,1,2,1,2,3,2,0.5,0.3333333333333333,0.4,0.6666666666666666,defined,TRUE
Chromis-scotti_6_jpg.rf.c8f5df2b3cc93b9323bcf390e7913ea5.jpg,5,0,0,2,0,2,7,5,1,0.7142857142857143,0.8333333333333333,0.2857142857142857,defined,TRUE
2024-09-09_14-29-48-06-00_0002_106MEDIA_DSCF0298_JPG.rf.9c83c9c1a9f97557e68837fd3453e81f.jpg,3,0,0,0,0,0,3,3,1,1,1,0,defined,TRUE
Sparisoma-viride_6_jpg.rf.fbfc01b5590576e216b2988f84bcab11.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
Chaetodon-ocellatus_31_jpeg.rf.fff72bd82345720e7ca700cfd80bca8f.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
2024-08-12_14-04-22-06-00_0003_100MEDIA_DSCF0208_JPG.rf.863f6027ab5443d599ee0875fb8463da.jpg,6,0,0,0,0,0,6,6,1,1,1,0,defined,TRUE
Scarus-vetula_19_png.rf.5c323334cd5c78c5a89dadd7f50e7e7a.jpg,0,2,0,2,2,4,4,2,0,0,0,1,defined_zero_performance,TRUE
2024-08-12_14-16-20-06-00_0003_100MEDIA_DSCF0212_JPG.rf.5419ae1a9fdccc46e7ae5ee3e85cb4ce.jpg,2,0,0,3,0,3,5,2,1,0.4,0.5714285714285715,0.6,defined,TRUE
2024-08-12_15-39-42-06-00_0001_100MEDIA_DSCF0246_JPG.rf.9f482788c24e0c9f93bb940904db0592.jpg,7,0,2,1,2,1,8,9,0.7777777777777778,0.875,0.823529411764706,0.125,defined,TRUE
Chaetodon-capistratus_10_jpg.rf.e821b091b04cdd3259313fa5a9eb4073.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
2024-08-22_10-02-36-06-00_0003_104MEDIA_DSCF0940_JPG.rf.258e7ef8671e527272f5c8db3b3379a4.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
2024-08-23_10-39-56-06-00_0004_105MEDIA_DSCF0425_JPG.rf.f4e532dd32837346a7ee1a283a40dfff.jpg,0,0,0,0,0,0,0,0,NA,NA,NA,NA,precision_recall_f1_undefined_no_objects,FALSE
Scarus-iseri_21_jpeg.rf.0274c8b623367cf6394abbcb7b4954e0.jpg,0,3,0,2,3,5,5,3,0,0,0,1,defined_zero_performance,TRUE
Scarus-taeniopterus_37_jpeg.rf.59bfc41e2cbfa574e7ef55e875cae316.jpg,1,0,0,1,0,1,2,1,1,0.5,0.6666666666666666,0.5,defined,TRUE
2024-08-23_10-16-02-06-00_0004_105MEDIA_DSCF0417_JPG.rf.7f90fd72b78efe82bbc067cbd6852920.jpg,0,0,0,0,0,0,0,0,NA,NA,NA,NA,precision_recall_f1_undefined_no_objects,FALSE
Lutjanus-jocu_48_jpg.rf.63fdafca92a0ac1af5c55a611990f6dc.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
Sparisoma-viride_21_jpeg.rf.63817d20968bfe11dee184fd484da141.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
2024-08-13_17-02-44-06-00_0002_100MEDIA_DSCF0750_JPG.rf.adec920eeaa2aae77a7ec081710350f8.jpg,3,0,0,1,0,1,4,3,1,0.75,0.8571428571428571,0.25,defined,TRUE
