analysis,group,space,eligible_images,group_images,prevalence,k,observed_same_group_neighbor_fraction,random_expectation,enrichment_ratio,permutation_p_upper
original_reconstructed,F1_le_0.25,CLIP_cosine,431,24,0.05568445475638051,15,0.03888888888888889,0.053488372093023255,0.7270531400966184,0.858
original_reconstructed,FN_rate_ge_0.75,CLIP_cosine,431,32,0.07424593967517401,15,0.04375,0.07209302325581396,0.6068548387096774,0.981
original_reconstructed,F1_le_0.25,UMAP_euclidean,431,24,0.05568445475638051,15,0.03888888888888889,0.053488372093023255,0.7270531400966184,0.871
original_reconstructed,FN_rate_ge_0.75,UMAP_euclidean,431,32,0.07424593967517401,15,0.052083333333333336,0.07209302325581396,0.7224462365591398,0.933
corrected,F1_le_0.25,CLIP_cosine,490,83,0.16938775510204082,15,0.16305220883534136,0.16768916155419222,0.9723479282985601,0.588
corrected,FN_rate_ge_0.75,CLIP_cosine,490,95,0.19387755102040816,15,0.1831578947368421,0.19222903885480572,0.9528107502799552,0.702
corrected,F1_le_0.25,UMAP_euclidean,490,83,0.16938775510204082,15,0.15100401606425704,0.16768916155419222,0.9004995592124597,0.895
corrected,FN_rate_ge_0.75,UMAP_euclidean,490,95,0.19387755102040816,15,0.1782456140350877,0.19222903885480572,0.9272564389697648,0.869
