class,class_type,split,images_containing_class,preaugmentation_source_images_containing_class,annotated_object_instances,percent_exported_images_SAMP,percent_exported_images_iNaturalist,percent_exported_images_UNKNOWN_REVIEW,percent_source_images_SAMP,percent_source_images_iNaturalist,percent_source_images_UNKNOWN_REVIEW,bbox_area_fraction_min,bbox_area_fraction_q25,bbox_area_fraction_median,bbox_area_fraction_q75,bbox_area_fraction_max,bbox_area_fraction_mean,present_in_all_three_splits,training_source_image_rank,low_training_representation_lower_quartile,source_dependence
Scarus coelestinus,species_level,test,10,10,21,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00066913,0.01387080,0.06325955,0.10560137,0.35297912,0.08509356,True,28,False,mixed_or_unknown
Scarus coeruleus,species_level,train,512,128,1560,99.21875000,0.78125000,0.00000000,99.21875000,0.78125000,0.00000000,0.00009645,0.00226659,0.00375856,0.00667318,0.08736316,0.00620230,True,40,False,SAMP-predominant
Scarus coeruleus,species_level,valid,10,10,28,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00112727,0.00594980,0.00988619,0.05447049,0.19528236,0.03752424,True,40,False,SAMP-predominant
Scarus coeruleus,species_level,test,10,10,31,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00012056,0.00712077,0.01485942,0.02546296,0.07656973,0.02109692,True,40,False,SAMP-predominant
Scarus guacamaia,species_level,train,132,33,364,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00002110,0.01497396,0.03825473,0.11598488,0.57132523,0.08641955,True,4,True,iNaturalist-predominant
Scarus guacamaia,species_level,valid,10,10,20,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00004521,0.04439969,0.11041034,0.17532914,0.43139648,0.12445219,True,4,True,iNaturalist-predominant
Scarus guacamaia,species_level,test,10,10,30,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00007234,0.01561144,0.04698803,0.09343804,0.37451172,0.08142251,True,4,True,iNaturalist-predominant
Scarus iseri,species_level,train,396,99,800,17.17171717,82.82828283,0.00000000,17.17171717,82.82828283,0.00000000,0.00005425,0.00892696,0.02288442,0.07567003,0.43727696,0.06377622,True,36,False,iNaturalist-predominant
Scarus iseri,species_level,valid,10,10,25,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00036169,0.02280454,0.03510802,0.13447627,0.24461685,0.07449725,True,36,False,iNaturalist-predominant
Scarus iseri,species_level,test,10,10,22,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00081380,0.01991253,0.07490897,0.15080431,0.28094256,0.09325117,True,36,False,iNaturalist-predominant
Scarus juvenil,life_stage_or_initial_phase,train,504,126,1660,69.04761905,30.95238095,0.00000000,69.04761905,30.95238095,0.00000000,0.00002411,0.00103082,0.00329138,0.01074219,0.37217882,0.01347392,True,39,False,mixed_or_unknown
Scarus juvenil,life_stage_or_initial_phase,valid,11,11,26,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00036169,0.00067515,0.00096149,0.00108507,0.01112799,0.00175083,True,39,False,mixed_or_unknown
Scarus juvenil,life_stage_or_initial_phase,test,10,10,20,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00070530,0.00115515,0.00358374,0.01349404,0.02320843,0.00679495,True,39,False,mixed_or_unknown
Scarus taeniopterus,species_level,train,132,33,272,3.03030303,96.96969697,0.00000000,3.03030303,96.96969697,0.00000000,0.00000000,0.01258454,0.04955150,0.13413644,0.41097005,0.08780814,True,4,True,iNaturalist-predominant
Scarus taeniopterus,species_level,valid,10,10,21,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00019592,0.01614342,0.07981590,0.16499084,0.26119430,0.09657506,True,4,True,iNaturalist-predominant
Scarus taeniopterus,species_level,test,10,10,21,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00001206,0.03194927,0.05567913,0.22317467,0.70377604,0.13627338,True,4,True,iNaturalist-predominant
Scarus vetula,species_level,train,136,34,272,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00074448,0.03303132,0.07603775,0.14095580,0.46020508,0.10905422,True,6,True,iNaturalist-predominant
Scarus vetula,species_level,valid,10,10,24,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00019290,0.02497845,0.07188284,0.13511526,0.51338252,0.10774363,True,6,True,iNaturalist-predominant
Scarus vetula,species_level,test,10,10,23,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00015673,0.00734682,0.04466869,0.11809474,0.28483073,0.07581569,True,6,True,iNaturalist-predominant
Sparisoma aurofrenatum,species_level,train,144,36,328,5.55555556,94.44444444,0.00000000,5.55555556,94.44444444,0.00000000,0.00026524,0.00700473,0.03123493,0.11773003,0.55726153,0.08450041,True,9,True,iNaturalist-predominant
Sparisoma aurofrenatum,species_level,valid,10,10,25,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00010851,0.01810258,0.03355276,0.13792438,0.38906973,0.09035614,True,9,True,iNaturalist-predominant
Sparisoma aurofrenatum,species_level,test,10,10,26,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00344585,0.03869026,0.10338225,0.37858977,0.07642088,True,9,True,iNaturalist-predominant
Sparisoma chrysopterum,species_level,train,172,43,368,13.95348837,86.04651163,0.00000000,13.95348837,86.04651163,0.00000000,0.00000000,0.01117622,0.05850785,0.14251935,0.47637563,0.10668392,True,15,False,iNaturalist-predominant
Sparisoma chrysopterum,species_level,valid,10,10,22,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00054253,0.04050700,0.12182919,0.19298412,0.40567732,0.14004698,True,15,False,iNaturalist-predominant
Sparisoma chrysopterum,species_level,test,10,10,21,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00003617,0.00521135,0.04044898,0.13541968,0.27244285,0.07924509,True,15,False,iNaturalist-predominant
Sparisoma rubripinne FI,life_stage_or_initial_phase,train,488,122,1032,66.39344262,33.60655738,0.00000000,66.39344262,33.60655738,0.00000000,0.00002411,0.00332755,0.00812446,0.02382632,0.43655961,0.03476353,True,38,False,mixed_or_unknown
Sparisoma rubripinne FI,life_stage_or_initial_phase,valid,10,10,20,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00415943,0.01513672,0.02219118,0.02913562,0.07884838,0.02601122,True,38,False,mixed_or_unknown
Sparisoma rubripinne FI,life_stage_or_initial_phase,test,10,10,23,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00155527,0.00911910,0.01953125,0.02482699,0.09798177,0.02136434,True,38,False,mixed_or_unknown
Sparisoma viride,species_level,train,208,52,464,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00001808,0.01932705,0.06832321,0.18322452,0.46300817,0.11691891,True,17,False,iNaturalist-predominant
Sparisoma viride,species_level,valid,10,10,25,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00227262,0.03012876,0.08416522,0.17207393,0.50853588,0.12620708,True,17,False,iNaturalist-predominant
Sparisoma viride,species_level,test,10,10,18,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00277296,0.01905352,0.09638431,0.19857449,0.40606916,0.13684032,True,17,False,iNaturalist-predominant
Sparisoma viride FI,life_stage_or_initial_phase,train,272,68,632,11.76470588,88.23529412,0.00000000,11.76470588,88.23529412,0.00000000,0.00059076,0.00901813,0.02681327,0.07612365,0.33516590,0.05780740,True,26,False,iNaturalist-predominant
Sparisoma viride FI,life_stage_or_initial_phase,valid,10,10,22,40.00000000,60.00000000,0.00000000,40.00000000,60.00000000,0.00000000,0.00626929,0.01025993,0.02155219,0.07826968,0.40635851,0.08006073,True,26,False,iNaturalist-predominant
Sparisoma viride FI,life_stage_or_initial_phase,test,10,10,18,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00028332,0.01285204,0.04719600,0.12076145,0.35234616,0.08568398,True,26,False,iNaturalist-predominant
Sphyraena barracuda,species_level,train,344,86,884,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00000000,0.00204958,0.00458140,0.02748240,0.44982157,0.03742810,True,33,False,mixed_or_unknown
Sphyraena barracuda,species_level,valid,10,10,23,60.00000000,40.00000000,0.00000000,60.00000000,40.00000000,0.00000000,0.00081983,0.00968424,0.02367260,0.05437404,0.15414918,0.04234680,True,33,False,mixed_or_unknown
Sphyraena barracuda,species_level,test,10,10,22,60.00000000,40.00000000,0.00000000,60.00000000,40.00000000,0.00000000,0.00031648,0.00605755,0.03472222,0.06886574,0.42187500,0.05514989,True,33,False,mixed_or_unknown
Urobatis jamaicensis,species_level,train,148,37,356,10.81081081,89.18918919,0.00000000,10.81081081,89.18918919,0.00000000,0.00027127,0.00857205,0.05690888,0.15933642,0.58750482,0.11763281,True,10,True,iNaturalist-predominant
Urobatis jamaicensis,species_level,valid,10,10,25,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000301,0.01365379,0.09490741,0.17225477,0.85275608,0.16656081,True,10,True,iNaturalist-predominant
Urobatis jamaicensis,species_level,test,10,10,23,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00001206,0.01691804,0.04856289,0.28565056,0.38352985,0.12919796,True,10,True,iNaturalist-predominant
unidentifiable,auxiliary,train,7620,1905,62068,91.23359580,8.76640420,0.00000000,91.23359580,8.76640420,0.00000000,0.00000000,0.00036470,0.00086806,0.00215205,0.51472982,0.00233299,True,52,False,SAMP-predominant
unidentifiable,auxiliary,valid,91,91,660,91.20879121,8.79120879,0.00000000,91.20879121,8.79120879,0.00000000,0.00006932,0.00037977,0.00075955,0.00158842,0.07093039,0.00172971,True,52,False,SAMP-predominant
unidentifiable,auxiliary,test,15,15,46,26.66666667,73.33333333,0.00000000,26.66666667,73.33333333,0.00000000,0.00031346,0.00180242,0.00884633,0.01869710,0.13880751,0.01817917,True,52,False,SAMP-predominant
